name,number,latitude,longitude,elevation
KOŁOBRZEG,12100,54.1759173,15.5832667,5
DZWINÓW,12103,54.02775,14.76448,4
KOSZALIN,12105,54.1943219,16.1714908,34
NIECHORZE,12114,54.0948275,15.0766112,10
USTKA,12115,54.5805607,16.861891,8
MRZEŻYNO,12116,54.1392935,15.280988,8
ŁEBA,12120,54.760117,17.5563117,2
ŁAZY,12123,52.0817749,20.8783222,8
DARŁÓWEK,12124,54.4398875,16.3827954,5
LĘBORK,12125,54.544642,17.7532511,22
DARŁOWO,12127,54.4210664,16.410611,7
JAROSŁAWIEC,12129,54.5403402,16.5453544,35
SŁUPSK/REDZIKOWO,12133,54.472778,17.1230559,65
HEL,12135,54.6083804,18.8007998,3
CZOLPINO,12137,54.7108554,17.2382737,48
BIAŁOGÓRA,12139,54.8148868,17.9619641,30
GDAŃSK/PORT,12140,54.400239,18.6773678,7
OKSYWIE,12142,54.5478972,18.5446613,70
ROZEWIE,12143,54.8325,18.3427778,85
GDAŃSK/REBIECHOWO,12150,54.3788433,18.468075,138
MALBORK,12154,54.0361319,19.0379763,5
GDAŃSK/SWIBNO,12155,54.3346723,18.9345104,9
SKOWRONKI,12156,54.3519476,19.2898944,22
ELBLĄG,12160,54.1560613,19.4044897,43
KETRZYN,12185,54.07657,21.3750399,110
SUWAŁKI,12195,54.1115218,22.9307881,186
SWINOUJŚCIE,12200,53.9100327,14.2475775,5
MIĘDZYZDROJE,12203,53.9283144,14.4504845,70
SZCZECIN/DĄBIE,12205,53.4538212,14.6692962,3
RESKO,12210,53.77304,15.40611,56
ĄWIDWIN,12212,53.77564,15.7742,117
SZCZECINEK,12215,53.7100713,16.6993602,144
MIROSŁAWIEC ,12226,53.34254,16.089279,121
PIŁA/WOJSKO ,12228,53.1529602,16.7163152,0
PILA,12230,53.1509671,16.7382266,73
CHOJNICE,12235,53.6944002,17.5569252,177
BYDGOSZCZ,12238,53.1234804,18.0084378,72
MŁAWA,12270,53.1122632,20.3837208,149
OLSZTYN,12272,53.778422,20.4801192,135
MIKOŁAJKI,12280,53.8027021,21.5706044,131
OSTROŁĘKA,12285,53.0876544,21.5592554,96
BIAŁYSTOK,12295,53.1324886,23.1688403,151
SŁUBICE,12310,52.351065,14.5604649,24
BABIMOST,12312,52.16469,15.8274998,59
POZNAŁ/ŁAWICA,12330,52.4199508,16.8286158,92
POWIDZ,12336,52.4127967,17.9186809,100
INOWROCŁAW,12342,52.7993317,18.2562032,83
PŁOCK,12360,52.5463446,19.7065364,109
WARSZAWA/BABICE,12363,52.2699432,20.9074545,106
SOCHACZEW,12364,52.2293372,20.238359,0
BRWINÓW,12365,52.142598,20.7175048,98
WARSZAWA/BIELANY,12372,52.2933234,20.928664,100
LEGIONOWO,12374,52.4044483,20.9499698,96
WARSZAWA/OKĘCIE,12375,52.1672369,20.9678911,107
MINSK MAZOWIECKI,12376,52.1792836,21.5721057,110
SIEDLCE,12385,52.1676031,22.2901645,149
BIAŁA PODLASKA,12396,52.0387126,23.1445026,150
TERESPOL,12399,52.0732257,23.6080719,137
ZIELONA GORA,12400,51.9356214,15.5061862,192
LEGNICA/BARTOSZÓW,12415,51.1870045,16.2136508,124
LESZNO/STRZYZEWICE,12418,51.8267239,16.534587,92
WROCŁAW/STRACHOWICE,12424,51.104017,16.9050009,121
WROCŁAW/MAŁY GADÓW,12425,51.124094,16.9688052,116
WROCŁAW/WOJSKO,12428,51.1437796,17.0533053,123
OLESNICA,12434,51.2134346,17.3898504,0
KALISZ,12435,51.7672799,18.0853462,144
LĘCZYCA,12452,52.05959,19.19969,150
ŁASK,12454,51.5906364,19.1327882,190
WIELUŃ,12455,51.2186,18.56892,201
NOWE MIASTO,12464,52.6806269,20.6620485,180
ŁÓDŹ/LUBLINEK,12465,51.7197051,19.3908091,188
TOMASZÓW MAZ.,12466,51.5311945,20.0086471,190
SULEJÓW,12469,51.35412,19.88512,189
BELSK,12471,51.8088842,20.8145971,180
JAGODNE,12481,51.9286279,21.6178288,0
RADOM/PIASTÓW,12485,51.4843781,21.0955726,185
KOZIENICE,12488,51.5855328,21.5511768,126
MODLIN,12362,52.4476555,20.6440998,0
NADARZYCE,12225,53.454657,16.487705,129
SZCZECIN GOLENIÓW ,12204,53.586789,14.898804,0
TORUŃ,12250,53.0299917,18.5437112,72
ZEGRZE POMORSKIE,12128,54.04444,16.275759,72
GĄSKI,12119,54.2374705,15.9110084,30
CEWICE,12136,54.4162812,17.7660997,22
GÓRA SZWEDÓW,12147,54.6265261,18.8171961,17
PRUSZCZ GDAŃSKI,12146,54.2621505,18.6361725,100
WICKO MORSKIE,12122,54.5478607,16.6094778,3
GDAŃSK/NOWY PORT,12153,54.4010157,18.6640287,16
LUBLIN RADAWIEC ,12495,51.2070189,22.3856703,240
WŁODAWA,12497,51.55178,23.55434,179
JELENIA GÓRA,12500,50.9044171,15.7193616,344
ŚNIEŻKA,12510,50.7360171,15.7399457,1613
KŁODZKO,12520,50.4345636,16.6613941,357
OPOLE,12530,50.6751067,17.9212976,178
RACIBÓRZ,12540,50.0915234,18.2199166,206
CZESTOCHOWA,12550,50.8118195,19.1203094,295
MIERZECICE,12554,50.4446475,19.1284378,0
KRAKÓW/BALICE,12556,50.0769776,19.7881188,1978
KATOWICE/PYRZOWICE,12560,50.4728015,19.0758814,284
KRAKÓW/BALICE,12566,50.0769776,19.7881188,237
KIELCE,12570,50.8660773,20.6285676,261
TARNÓW,12575,50.0121011,20.9858407,209
RZESZÓW/JASIONKA,12580,50.114826,22.024598,202
SANDOMIERZ,12585,50.6822405,21.7501781,218
ZAMOŚĆ,12595,50.7230879,23.2519685,213
ZAKOPANE,12625,49.299181,19.949562,860
NOWY TARG,12628,49.4774647,20.032096,0
KROSNO,12670,49.6824761,21.7660531,278
LESKO,12690,49.4701205,22.3304325,422
KOŁO,12345,52.204296,18.633614,117
DĘBLIN,12490,51.552301,21.891685,124
NOWY SĄCZ,12660,49.6175213,20.6992763,295
PRZEMYŚL,12695,49.7779307,22.7728376,280
KRZESINY,12326,52.3341974,16.9503834,92
KASPROWY WIERCH ,12650,49.2321642,19.981798,1989
BIELSKO BIAŁA,12600,49.8223768,19.0583845,399
GORZÓW WIELKOPOLSKI,12300,52.7325285,15.2369305,73
PETROBALTIC Beta,12001,55.025000,17.448000,46
