province,county,commune,genre,name,name_add,longitude,latitude
2,1,1,1,Bolesławiec,gmina miejska,15.5657397,51.2658553
2,1,2,2,Bolesławiec,gmina wiejska,15.5657397,51.2658553
2,1,3,2,Gromadka,gmina wiejska,15.741658,51.4262858
2,1,4,3,Nowogrodziec,gmina miejsko-wiejska,15.3983422,51.1973679
2,1,4,4,Nowogrodziec,miasto,15.3983422,51.1973679
2,1,4,5,Nowogrodziec,obszar wiejski,15.3983422,51.1973679
2,1,5,2,Osiecznica,gmina wiejska,15.4476094,51.4017634
2,1,6,2,Warta Bolesławiecka,gmina wiejska,15.7045412,51.2272195
2,1,,,bolesławiecki,powiat,15.5803488,51.3623002
2,2,1,1,Bielawa,gmina miejska,16.6229286,50.6907986
2,2,2,1,Dzierżoniów,gmina miejska,16.6567892,50.7308605
2,2,3,3,Pieszyce,gmina miejsko-wiejska,16.5820422,50.7116152
2,2,3,4,Pieszyce,miasto,16.5820422,50.7116152
2,2,3,5,Pieszyce,obszar wiejski,16.5820422,50.7116152
2,2,4,1,Piława Górna,gmina miejska,16.7434759,50.6828036
2,2,5,2,Dzierżoniów,gmina wiejska,16.6567892,50.7308605
2,2,7,3,Niemcza,gmina miejsko-wiejska,16.8357165,50.7197493
2,2,7,4,Niemcza,miasto,16.8357165,50.7197493
2,2,7,5,Niemcza,obszar wiejski,16.8357165,50.7197493
2,2,,,dzierżoniowski,powiat,16.7233293,50.7717947
2,3,1,1,Głogów,gmina miejska,16.0846672,51.6635852
2,3,2,2,Głogów,gmina wiejska,16.0846672,51.6635852
2,3,3,2,Jerzmanowa,gmina wiejska,16.0449374,51.5962098
2,3,4,2,Kotla,gmina wiejska,77.2430237,28.6377383
2,3,5,2,Pęcław,gmina wiejska,16.2632835,51.6447485
2,3,,,głogowski,powiat,16.096829,51.6574339
2,4,1,3,Góra,gmina miejsko-wiejska,16.5376529,51.669945
2,4,1,4,Góra,miasto,16.5376529,51.669945
2,4,1,5,Góra,obszar wiejski,16.5376529,51.669945
2,4,3,2,Niechlów,gmina wiejska,16.3542927,51.6642526
2,4,4,3,Wąsosz,gmina miejsko-wiejska,16.69165,51.5623852
2,4,4,4,Wąsosz,miasto,16.69165,51.5623852
2,4,4,5,Wąsosz,obszar wiejski,16.69165,51.5623852
2,4,,,górowski,powiat,16.5125886,51.663189
2,5,1,1,Jawor,gmina miejska,16.186323,51.0545282
2,5,2,3,Bolków,gmina miejsko-wiejska,16.1037801,50.9245
2,5,2,4,Bolków,miasto,16.1037801,50.9245
2,5,2,5,Bolków,obszar wiejski,16.1037801,50.9245
2,5,3,2,Męcinka,gmina wiejska,16.0571725,51.0602826
2,5,6,2,Wądroże Wielkie,gmina wiejska,16.3309425,51.1153775
2,5,,,jaworski,powiat,-81.813757,41.35985
2,6,1,1,Karpacz,gmina miejska,15.7555976,50.7758815
2,6,2,1,Kowary,gmina miejska,15.83665,50.79171
2,6,3,1,Piechowice,gmina miejska,15.59851,50.84956
2,6,4,1,Szklarska Poręba,gmina miejska,15.5261477,50.8274316
2,6,5,2,Janowice Wielkie,gmina wiejska,15.9233934,50.8793552
2,6,6,2,Jeżów Sudecki,gmina wiejska,15.74164,50.9361124
2,6,7,2,Mysłakowice,gmina wiejska,15.7777601,50.8410986
2,6,8,2,Podgórzyn,gmina wiejska,15.7050984,50.799449
2,6,9,2,Stara Kamienica,gmina wiejska,21.0152765,52.2314908
2,6,,,jeleniogórski,powiat,15.6823021,50.8665547
2,7,1,1,Kamienna Góra,gmina miejska,16.0237177,50.7852076
2,7,2,2,Kamienna Góra,gmina wiejska,16.0237177,50.7852076
2,7,3,3,Lubawka,gmina miejsko-wiejska,15.9996227,50.7033992
2,7,3,4,Lubawka,miasto,15.9996227,50.7033992
2,7,3,5,Lubawka,obszar wiejski,15.9996227,50.7033992
2,7,4,2,Marciszów,gmina wiejska,16.0347107,50.8414118
2,7,,,kamiennogórski,powiat,15.9921471,50.7915164
2,8,1,1,Duszniki-Zdrój,gmina miejska,16.3904406,50.404284
2,8,2,1,Kłodzko,gmina miejska,16.6613941,50.4345636
2,8,3,1,Kudowa-Zdrój,gmina miejska,16.2426605,50.4427156
2,8,4,1,Nowa Ruda,gmina miejska,16.5037092,50.5797139
2,8,5,1,Polanica-Zdrój,gmina miejska,16.5148115,50.4119089
2,8,6,3,Bystrzyca Kłodzka,gmina miejsko-wiejska,16.6417941,50.2990907
2,8,6,4,Bystrzyca Kłodzka,miasto,16.6417941,50.2990907
2,8,6,5,Bystrzyca Kłodzka,obszar wiejski,16.6417941,50.2990907
2,8,7,2,Kłodzko,gmina wiejska,16.6613941,50.4345636
2,8,8,3,Lądek-Zdrój,gmina miejsko-wiejska,16.8795362,50.3430802
2,8,8,4,Lądek-Zdrój,miasto,16.8795362,50.3430802
2,8,8,5,Lądek-Zdrój,obszar wiejski,16.8795362,50.3430802
2,8,9,2,Lewin Kłodzki,gmina wiejska,16.2909777,50.4056168
2,8,10,3,Międzylesie,gmina miejsko-wiejska,16.6670843,50.1477491
2,8,10,4,Międzylesie,miasto,16.6670843,50.1477491
2,8,10,5,Międzylesie,obszar wiejski,16.6670843,50.1477491
2,8,11,2,Nowa Ruda,gmina wiejska,16.5037092,50.5797139
2,8,12,3,Radków,gmina miejsko-wiejska,16.3972701,50.5046222
2,8,12,4,Radków,miasto,16.3972701,50.5046222
2,8,12,5,Radków,obszar wiejski,16.3972701,50.5046222
2,8,13,3,Stronie Śląskie,gmina miejsko-wiejska,16.8739539,50.2954526
2,8,13,4,Stronie Śląskie,miasto,16.8739539,50.2954526
2,8,13,5,Stronie Śląskie,obszar wiejski,16.8739539,50.2954526
2,8,14,3,Szczytna,gmina miejsko-wiejska,16.4474201,50.41339
2,8,14,4,Szczytna,miasto,16.4474201,50.41339
2,8,14,5,Szczytna,obszar wiejski,16.4474201,50.41339
2,8,,,kłodzki,powiat,16.5655666,50.4114042
