id,province,county,commune,genre,name,name_add,longitude,latitude
15014,2,12,4,4,Mirsk,miasto,,
15020,2,14,8,4,Twardogóra,miasto,,
15028,2,19,4,4,Jaworzyna Śląska,miasto,,
15033,2,20,3,4,Trzebnica,miasto,,
15034,2,20,6,4,Żmigród,miasto,,
15037,2,22,1,4,Brzeg Dolny,miasto,,
15039,2,23,4,4,Kąty Wrocławskie,miasto,,
15040,2,23,7,4,Sobótka,miasto,,
15042,2,24,1,4,Bardo,miasto,,
15043,2,24,5,4,Ząbkowice Śląskie,miasto,,
15044,2,24,6,4,Ziębice,miasto,,
15047,2,25,4,4,Pieńsk,miasto,,
15048,2,25,6,4,Węgliniec,miasto,,
15051,4,2,7,4,Jabłonowo Pomorskie,miasto,,
15054,4,5,4,4,Kowalewo Pomorskie,miasto,,
15055,4,6,3,4,Łasin,miasto,,
15057,4,7,3,4,Gniewkowo,miasto,,
15060,4,7,7,4,Pakość,miasto,,
15061,4,8,4,4,Dobrzyń nad Wisłą,miasto,,
15070,4,13,1,4,Kamień Krajeński,miasto,,
15083,4,19,4,4,Łabiszyn,miasto,,
15089,6,3,15,4,Rejowiec,miasto,,
15094,6,8,6,4,Kock,miasto,,
15097,6,9,3,4,Bychawa,miasto,,
15100,6,12,5,4,Opole Lubelskie,miasto,,
15101,6,12,6,4,Poniatowa,miasto,,
15104,6,14,8,4,Nałęczów,miasto,,
15106,6,17,3,4,Piaski,miasto,,
15110,6,20,4,4,Krasnobród,miasto,,
15115,8,3,2,4,Międzyrzecz,miasto,,
15118,8,4,2,4,Bytom Odrzański,miasto,,
15119,8,4,4,4,Kożuchów,miasto,,
15123,8,5,3,4,Ośno Lubuskie,miasto,,
15137,8,9,5,4,Nowogród Bobrzański,miasto,,
15139,8,10,4,4,Iłowa,miasto,,
15154,10,7,2,4,Drzewica,miasto,,
15209,12,16,5,4,Radłów,miasto,,
15241,14,15,8,4,Myszyniec,miasto,,
15282,16,5,5,4,Zdzieszowice,miasto,,
15286,16,7,5,4,Nysa,miasto,,
15287,16,7,6,4,Otmuchów,miasto,,
15289,16,8,1,4,Dobrodzień,miasto,,
15290,16,8,2,4,Gorzów Śląski,miasto,,
15297,16,10,1,4,Biała,miasto,,
15303,16,11,6,4,Ujazd,miasto,,
15311,18,6,2,4,Kolbuszowa,miasto,,
15313,18,7,3,4,Iwonicz-Zdrój,miasto,,
15316,18,8,5,4,Nowa Sarzyna,miasto,,
15321,18,11,8,4,Radomyśl Wielki,miasto,,
15323,18,12,6,4,Rudnik nad Sanem,miasto,,
15324,18,12,7,4,Ulanów,miasto,,
15325,18,14,5,4,Kańczuga,miasto,,
15326,18,14,7,4,Sieniawa,miasto,,
15334,18,17,7,4,Zagórz,miasto,,
15337,18,20,1,4,Baranów Sandomierski,miasto,,
15338,18,20,4,4,Nowa Dęba,miasto,,
15339,18,21,3,4,Lesko,miasto,,
15340,20,1,4,4,Lipsk,miasto,,
15341,20,2,1,4,Choroszcz,miasto,,
15343,20,2,6,4,Łapy,miasto,,
15350,20,4,4,4,Rajgród,miasto,,
15352,20,5,7,4,Kleszczele,miasto,,
15373,22,5,2,4,Kartuzy,miasto,,
15383,22,14,2,4,Gniew,miasto,,
15384,22,14,4,4,Pelplin,miasto,,
15389,24,2,9,4,Wilamowice,miasto,,
15392,24,4,1,4,Blachownia,miasto,,
15394,24,5,6,4,Sośnicowice,miasto,,
15395,24,5,7,4,Toszek,miasto,,
15400,24,9,5,4,Żarki,miasto,,
15412,26,2,2,4,Jędrzejów,miasto,,
15413,26,2,3,4,Małogoszcz,miasto,,
15416,26,3,5,4,Skalbmierz,miasto,,
15449,28,7,4,4,Kisielice,miasto,,
15461,28,14,6,4,Jeziorany,miasto,,
15462,28,14,9,4,Olsztynek,miasto,,
15465,28,15,8,4,Morąg,miasto,,
15470,28,17,4,4,Pasym,miasto,,
15471,28,18,3,4,Gołdap,miasto,,
15475,30,2,4,4,Krzyż Wielkopolski,miasto,,
15478,30,3,2,4,Czerniejewo,miasto,,
15480,30,3,9,4,Trzemeszno,miasto,,
15481,30,3,10,4,Witkowo,miasto,,
15483,30,4,2,4,Gostyń,miasto,,
15484,30,4,3,4,Krobia,miasto,,
15485,30,4,6,4,Pogorzela,miasto,,
15488,30,5,4,4,Rakoniewice,miasto,,
15490,30,6,1,4,Jaraczewo,miasto,,
15491,30,6,2,4,Jarocin,miasto,,
15494,30,7,9,4,Stawiszyn,miasto,,
15495,30,8,3,4,Kępno,miasto,,
15497,30,9,6,4,Kłodawa,miasto,,
15501,30,10,7,4,Rychwał,miasto,,
15508,30,12,3,4,Koźmin Wielkopolski,miasto,,
15511,30,13,3,4,Osieczna,miasto,,
15526,30,18,7,4,Ostrzeszów,miasto,,
15530,30,19,9,4,Wysoka,miasto,,
15534,30,21,3,4,Buk,miasto,,
15538,30,21,11,4,Murowana Goślina,miasto,,
15539,30,21,12,4,Pobiedziska,miasto,,
15543,30,22,2,4,Jutrosin,miasto,,
15548,30,24,6,4,Pniewy,miasto,,
15551,30,25,4,4,Środa Wielkopolska,miasto,,
15553,30,26,3,4,Książ Wielkopolski,miasto,,
15554,30,26,4,4,Śrem,miasto,,
15559,30,29,3,4,Wolsztyn,miasto,,
15560,30,30,2,4,Miłosław,miasto,,
15562,30,30,4,4,Pyzdry,miasto,,
15568,32,1,4,4,Tychowo,miasto,,
15575,32,3,3,4,Kalisz Pomorski,miasto,,
15578,32,4,3,4,Maszewo,miasto,,
15579,32,4,4,4,Nowogard,miasto,,
15580,32,4,7,4,Stepnica,miasto,,
15584,32,6,2,4,Cedynia,miasto,,
15593,32,7,4,4,Międzyzdroje,miasto,,
15595,32,8,3,4,Gościno,miasto,,
15597,32,9,5,4,Mielno,miasto,,
15607,32,14,2,4,Chociwel,miasto,,
15610,32,14,11,4,Suchań,miasto,,
